note_number,chapter,subject,status,source,image_url,local_path,width,height
56,Acte II,Univers de fiction d'Avatar,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/The_World_of_Avatar_wordmark.svg/1280px-The_World_of_Avatar_wordmark.svg.png,iconographie/acte_02_note_040_univers-de-fiction-d-avatar.jpg,1280,82
57,Acte II,Cratère de Chicxulub,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Chicxulub_Impact_Crater%2C_Gulf_of_Mexico_%2833789560443%29.jpg/1280px-Chicxulub_Impact_Crater%2C_Gulf_of_Mexico_%2833789560443%29.jpg,iconographie/acte_02_note_041_cratere-de-chicxulub.jpg,1280,1324
58,Acte II,Triceratops,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/TriceratopsFernForest.jpg/1280px-TriceratopsFernForest.jpg,iconographie/acte_02_note_042_triceratops.jpg,1280,853
59,Acte II,Tyrannosaurus,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Palais_de_la_Decouverte_Tyrannosaurus_rex_p1050042.jpg/1280px-Palais_de_la_Decouverte_Tyrannosaurus_rex_p1050042.jpg,iconographie/acte_02_note_043_tyrannosaurus.jpg,1280,828
60,Acte II,Asteriornis,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Asteriornis_Life_Restoration.png/1280px-Asteriornis_Life_Restoration.png,iconographie/acte_02_note_044_asteriornis.jpg,1280,914
61,Acte II,Vegavis,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Vegavis_restoration.jpg/1280px-Vegavis_restoration.jpg,iconographie/acte_02_note_045_vegavis.jpg,1280,961
62,Acte II,Terre de Graham,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Graham_Land%2C_Antarctica_%28Copernicus_2025-12-08%29.png/1280px-Graham_Land%2C_Antarctica_%28Copernicus_2025-12-08%29.png,iconographie/acte_02_note_046_terre-de-graham.jpg,1280,1810
63,Acte II,Morotopithecus,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Morotopithecus_vertebra.jpg/1280px-Morotopithecus_vertebra.jpg,iconographie/acte_02_note_047_morotopithecus.jpg,1280,1715
64,Acte II,Nyanzapithecus,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Nyanzapithecus.jpg/1280px-Nyanzapithecus.jpg,iconographie/acte_02_note_048_nyanzapithecus.jpg,1280,961
65,Acte II,Archicebus achilles,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/8/8a/Reconstruction_image_of_Archicebus.jpg,iconographie/acte_02_note_049_archicebus-achilles.jpg,1280,1409
66,Acte II,Ovis shantungensis,FAILED,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Proceedings_of_the_United_States_National_Museum_%28IA_proceedingsofuni281905unit%29.pdf/page1-787px-Proceedings_of_the_United_States_National_Museum_%28IA_proceedingsofuni281905unit%29.pdf.jpg,,,
67,Acte II,Gina Lollobrigida,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/4/4b/Ivo_Lollobrigida_sw.jpg,iconographie/acte_02_note_051_gina-lollobrigida.jpg,607,800
68,Acte II,Sophia Loren,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Sophia_Loren_62_Allan_Warren.jpg/1280px-Sophia_Loren_62_Allan_Warren.jpg,iconographie/acte_02_note_052_sophia-loren.jpg,1280,1820
69,Acte II,La Comtesse de Hong-Kong,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Journal_de_La_Haye_04-10-1846_%28IA_ddd_010258100_mpeg21%29.pdf/page1-1280px-Journal_de_La_Haye_04-10-1846_%28IA_ddd_010258100_mpeg21%29.pdf.jpg,iconographie/acte_02_note_053_la-comtesse-de-hong-kong.jpg,1280,1858
70,Acte III,Compagnie des Indes orientales,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/1/1b/Armoiries_de_la_Compagnie_des_Indes_Orientales.jpg,iconographie/acte_03_note_001_compagnie-des-indes-orientales.jpg,459,455
